grid_id,LDAC_suitability_elec,LDAC_suitability_gas,LDAC combined
85439423fffffff,0,0,0
8543942bfffffff,0,0,0
85439433fffffff,0,0,0
85439437fffffff,0,0,0
8543943bfffffff,0,0,0
85439443fffffff,0,0,0
85439447fffffff,0,0,0
8543944bfffffff,0,0,0
8543944ffffffff,0,0,0
85439453fffffff,0,0,0
85439457fffffff,0,0,0
8543945bfffffff,0,0,0
85439463fffffff,0,0,0
85439473fffffff,0,0,0
85439477fffffff,0,0,0
8543947bfffffff,0,0,0
85439483fffffff,0,0,0
85439487fffffff,0,0,0
8543948bfffffff,0,0,0
8543948ffffffff,0,0,0
85439493fffffff,0,0,0
85439497fffffff,0,0,0
8543949bfffffff,0,0,0
854394a3fffffff,0,0,0
854394a7fffffff,0,0,0
854394abfffffff,0,0,0
854394affffffff,0,0,0
854394b3fffffff,0,0,0
854394b7fffffff,0,0,0
854394bbfffffff,0,0,0
854394c3fffffff,0,0,0
854394c7fffffff,0,0,0
854394cbfffffff,0,0,0
854394cffffffff,0,0,0
854394d3fffffff,0,0,0
854394d7fffffff,0,0,0
854394dbfffffff,0,0,0
85439583fffffff,0,0,0
85439587fffffff,0,0,0
8543958bfffffff,0,0,0
8543958ffffffff,0,0,0
85439593fffffff,0,0,0
85439597fffffff,0,0,0
8543959bfffffff,0,0,0
854395c3fffffff,0,0,0
854395c7fffffff,0,0,0
854395cbfffffff,0,0,0
854395d3fffffff,0,0,0
854395d7fffffff,0,0,0
854395dbfffffff,0,0,0
85439687fffffff,0,0,0
85439693fffffff,0,0,0
85439697fffffff,0,0,0
854396b3fffffff,0,0,0
854396b7fffffff,0,0,0
8543b003fffffff,0,0,0
8543b007fffffff,0,0,0
8543b00bfffffff,0,0,0
8543b00ffffffff,0,0,0
8543b013fffffff,0,0,0
8543b017fffffff,0,0,0
8543b01bfffffff,0,0,0
8543b023fffffff,0,0,0
8543b027fffffff,0,0,0
8543b02bfffffff,0,0,0
8543b02ffffffff,0,0,0
8543b033fffffff,0,0,0
8543b037fffffff,0,0,0
8543b03bfffffff,0,0,0
8543b043fffffff,0,0,0
8543b047fffffff,0,0,0
8543b04bfffffff,0,0,0
8543b04ffffffff,0,0,0
8543b053fffffff,0,0,0
8543b057fffffff,0,0,0
8543b05bfffffff,0,0,0
8543b063fffffff,0,0,0
8543b067fffffff,0,0,0
8543b06bfffffff,0,0,0
8543b06ffffffff,0,0,0
8543b073fffffff,0,0,0
8543b077fffffff,0,0,0
8543b07bfffffff,0,0,0
8543b083fffffff,0,0,0
8543b087fffffff,0,0,0
8543b08bfffffff,0,0,0
8543b08ffffffff,0,0,0
8543b093fffffff,0,0,0
8543b097fffffff,0,0,0
8543b09bfffffff,0,0,0
8543b0a3fffffff,0,0,0
8543b0a7fffffff,0,0,0
8543b0abfffffff,0,0,0
8543b0affffffff,0,0,0
8543b0b3fffffff,0,0,0
8543b0b7fffffff,0,0,0
8543b0bbfffffff,0,0,0
8543b0c3fffffff,0,0,0
8543b0c7fffffff,0,0,0
8543b0cbfffffff,0,0,0
8543b0cffffffff,0,0,0
8543b0d3fffffff,0,0,0
8543b0d7fffffff,0,0,0
8543b0dbfffffff,0,0,0
8543b103fffffff,0,0,0
8543b107fffffff,0,0,0
8543b10bfffffff,0,0,0
8543b10ffffffff,0,0,0
8543b113fffffff,0,0,0
8543b117fffffff,0,0,0
8543b11bfffffff,0,0,0
8543b123fffffff,0,0,0
8543b127fffffff,0,0,0
8543b12bfffffff,0,0,0
8543b12ffffffff,0,0,0
8543b133fffffff,0,0,0
8543b137fffffff,0,0,0
8543b13bfffffff,0,0,0
8543b143fffffff,0,0,0
8543b147fffffff,0,0,0
8543b14bfffffff,0,0,0
8543b14ffffffff,0,0,0
8543b153fffffff,0,0,0
8543b157fffffff,0,0,0
8543b15bfffffff,0,0,0
8543b163fffffff,0,0,0
8543b167fffffff,0,0,0
8543b16bfffffff,0,0,0
8543b16ffffffff,0,0,0
8543b173fffffff,0,0,0
8543b177fffffff,0,0,0
8543b17bfffffff,0,0,0
8543b183fffffff,0,0,0
